,"NOUN

Chemistry 
A salt in which the anion contains both chromium and oxygen, especially one of the anion CrO₄²⁻.",2/15/2019,chromate,,,
8,"d__ NOUN

mass noun
A medical condition in which the skin becomes red, swollen, and sore, sometimes with small blisters, resulting from direct irritation of the skin by an external agent or an allergic reaction to it.",2/13/2019,dermatitis,,/ˌdəːməˈtʌɪtɪs/,
11,"o__ NOUN

A natural or artificial mixture of essential oils and a resin, e.g. balsam.
‘We have ___ pepper sprays that generally do work.’",2/16/2019,oleoresin,,,
9,"v__ NOUN

British 
Chemistry 
1The combining power of an element, especially as measured by the number of hydrogen atoms it can displace or combine with.
‘carbon always has a ___ of 4’
1.1Linguistics The number of grammatical elements with which a particular word, especially a verb, combines in a sentence.
‘‘give’ has a ___ of three in ‘I (1) gave it (2) to him (3)’’",2/14/2019,valency,,,
,"NOUN

1A large number of people or things.
‘a ___ of medical conditions are due to being overweight’
‘Father Peter addressed the ___’
1.1the ___ The mass of ordinary people without power or influence.
‘placing ultimate political power in the hands of the ___’",2/17/2019,multitude,,,
0 3 7,"c__ NOUN

another term for rosin
‘Shoe dermatitis may be a result of contact allergy to chromates used in the tanning of leather, rubber found in the soles or lining, or, less commonly, ___, a pine resin widely used in the adhesives used in the manufacture of shoes.’",2/10/2019,colophony,,,
,"NOUN

1A number of bullets, arrows, or other projectiles discharged at one time.
‘the infantry let off a couple of __s’
1.1 A series of utterances directed at someone in quick succession.
‘he unleashed a ___ of angry questions’
2(in sport, especially tennis or soccer) a strike or kick of the ball made before it touches the ground.
‘a forehand ___’",2/20/2019,volley,,,
,"ADJECTIVE

1Having or acting as a hard outer layer or covering.
‘___ bread’
‘Lake Manyara was ringed by ___ salt deposits’
2(especially of an old person) easily irritated.
‘a ___ old Scots judge’",2/21/2019,crusty,,,
8,"b__ NOUN

1mass noun An aromatic resinous substance, such as balm, exuded by various trees and shrubs and used as a base for certain fragrances and medical preparations.
‘a mixture of olive oil and ___’
count noun ‘a hair conditioner with protein and __s’
1.1count noun A tree or shrub which yields ___.
2A herbaceous plant cultivated for its helmeted pink or purple flowers.",2/19/2019,balsam,,,
11,"ADJECTIVE

Relating to urine.
‘About 9% of the population have raised ___ acids; most do not have gout.’
‘The curative substances are known to have effect on the locomotory system, kidneys, ___ tract and the reproductive organs.’",2/24/2019,uric,,,
,"NOUN

1mass noun Heavy blackish or very dark brown timber from a mainly tropical tree. 黒檀
1.1mass noun A very dark brown or black colour.
as modifier ‘his ___ hair’",2/23/2019,ebony,,,
9,"a__ VERB

[WITH OBJECT]
Inform or tell (someone)
‘I thought it right to ___ Chris of what had happened’
‘What happens if he is __d of this fact, perhaps by being presented with an argument from those propositions to the denial of?’",2/18/2019,apprise,,,
