2019-04-23, 21:30:00, 22:05:00, 35, 35, "Progate コマンドライン"
2019-04-25, 20:55:00, 22:10:00, 75, 110, "Progate コマンドライン GIT"
2019-04-27, 10:40:00, 12:45:00, 125, 235, "RailsTutorial 1.1.1, GITHUB discordビデオチャット SQL"
2019-04-27, 16:45:00, 17:45:00, 60, 295, "Progate SaSS"
2019-04-27, 23:35:00, 25:40:00, 125, 420, "RailsTutorial 1.3.4, AWS Railsインストール"
2019-04-28, 13:15:00, 14:45:00, 90, 510, "RailsTutorial 1.3.4, Hello, World! MacBook操作"
2019-04-28, 18:05:00, 18:35:00, 30, 540, "RailsTutorial 1.3.4, MacBook操作"
2019-04-28, 20:40:00, 22:35:00, 115, 655, "RailsTutorial 1.5.2, Git Heroku"
2019-04-29, 13:00:00, 14:40:00, 100, 755, "RailsTutorial 1.6.1, デプロイ"
2019-05-04, 09:05:00, 12:50:00, 225, 980, "RailsTutorial 2, Scaffold"
2019-05-04, 13:55:00, 16:20:00, 145, 1125, "Progate Ruby 2, HTML/CSS初"
2019-05-04, 21:45:00, 22:45:00, 60, 1185, "Progate SQL 3,"
2019-05-05, 08:55:00, 12:40:00, 225, 1410, "RailsTutorial 3.4.3, アサーションテスト"
2019-05-05, 13:55:00, 16:30:00, 155, 1565, "Progate Ruby 4 HTML/CSS中"
2019-05-06, 09:00:00, 12:30:00, 210, 1775, "RailsTutorial 4.3.1, Rails風味のRuby"
2019-05-06, 13:40:00, 16:05:00, 145, 1920, "Progate HTML/CSS中 Ruby 5 Rails 1"
2019-05-07, 07:15:00, 07:30:00, 15, 1935, "RailsTutorial 4.3.3"
2019-05-11, 10:15:00, 11:15:00, 60, 1995, "RailsTutorial 4.3.2"
2019-05-11, 12:15:00, 12:45:00, 30, 2025, "RailsTutorial 4.3.2"
2019-05-11, 15:25:00, 16:00:00, 35, 2055, "RailsTutorial 4.3.3"
2019-05-16, 15:05:00, 15:15:00, 10, 2065, "RailsTutorial 4.4"
2019-05-24, 10:45:00, 11:00:00, 15, 2080, "RailsTutorial 4.4"
2019-05-26, 13:00:00, 14:00:00, 60, 2140, "RailsTutorial 4.4.3"
2019-05-27, 20:40:00, 21:40:00, 60, 2200, "RailsTutorial 4.4.3"
2019-05-28, 21:40:00, 21:55:00, 15, 2215, "RailsTutorial 4.4.4"
2019-06-01, 12:50:00, 14:10:00, 80, 2295, "RailsTutorial 4章終わり"
2019-06-01, 14:20:00, 14:30:00, 10, 2305, "Progate Rails 1 復習"
2019-06-09, 10:55:00, 13:40:00, 165, 2470, "Progate Rails 2"
2019-06-10, 12:00:00, 14:15:00, 135, 2605, "RailsTutorial 5.1.2"
